2026-07-30 17:45:47 | INFO | Using device: mps
2026-07-30 17:48:48 | ERROR | Failed row 168 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (159).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 169 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (16).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 170 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (160).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 171 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (161).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 172 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (162).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 173 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (163).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 174 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (164).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 175 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (165).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 176 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (166).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 177 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (167).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 178 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (168).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:48 | ERROR | Failed row 179 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (169).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 180 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (17).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 181 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (170).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 182 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (171).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 183 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (172).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 184 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (173).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 185 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (174).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 186 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (175).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 187 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (176).jpg): Classical feature dim mismatch: got 91, expected 1067
2026-07-30 17:48:49 | ERROR | Failed row 188 (Malabar_Dataset/Bacterial-Spot(752)/Bacterial-Spot (177).jpg): Classical feature dim mismatch: got 91, expected 1067
